biogrid_id,entrez_a,entrez_b,gene_a,gene_b,in_glycolysis_a,in_glycolysis_b,interaction_pair
590799,5111,7167,PCNA,TPI1,0,1,5111 :: 7167
590803,5111,5313,PCNA,PKLR,0,1,5111 :: 5313
591470,3122,5315,HLA-DRA,PKM,0,1,3122 :: 5315
591471,3123,5315,HLA-DRB1,PKM,0,1,3123 :: 5315
591474,3127,5315,HLA-DRB5,PKM,0,1,3127 :: 5315
593176,5594,2597,MAPK1,GAPDH,0,1,2597 :: 5594
593260,2885,2023,GRB2,ENO1,0,1,2023 :: 2885
593294,5595,5213,MAPK3,PFKM,0,1,5213 :: 5595
593347,339390,5313,CLEC4G,PKLR,0,1,339390 :: 5313
594638,5684,2023,PSMA3,ENO1,0,1,2023 :: 5684
594677,5684,226,PSMA3,ALDOA,0,1,226 :: 5684
594680,5684,2597,PSMA3,GAPDH,0,1,2597 :: 5684
594703,5684,7167,PSMA3,TPI1,0,1,5684 :: 7167
594705,5684,5223,PSMA3,PGAM1,0,1,5223 :: 5684
594707,5684,5315,PSMA3,PKM,0,1,5315 :: 5684
600914,5516,285971,PPP2CB,ZNF775,1,0,285971 :: 5516
600915,5516,140612,PPP2CB,ZFP28,1,0,140612 :: 5516
600916,5516,85440,PPP2CB,DOCK7,1,0,5516 :: 85440
600917,5516,128977,PPP2CB,C22orf39,1,0,128977 :: 5516
600919,5516,6176,PPP2CB,RPLP1,1,0,5516 :: 6176
600921,5516,54,PPP2CB,ACP5,1,0,54 :: 5516
601158,2932,2597,GSK3B,GAPDH,0,1,2597 :: 2932
601204,2932,5210,GSK3B,PFKFB4,0,1,2932 :: 5210
601431,5908,5315,RAP1B,PKM,0,1,5315 :: 5908
601531,2886,5315,GRB7,PKM,0,1,2886 :: 5315
601688,1460,5210,CSNK2B,PFKFB4,0,1,1460 :: 5210
601739,637,2597,BID,GAPDH,0,1,2597 :: 637
601768,2597,10181,GAPDH,RBM5,1,0,10181 :: 2597
601770,2597,3280,GAPDH,HES1,1,0,2597 :: 3280
601771,2597,70,GAPDH,ACTC1,1,0,2597 :: 70
601772,2597,2806,GAPDH,GOT2,1,0,2597 :: 2806
601773,2597,4802,GAPDH,NFYC,1,0,2597 :: 4802
601774,2597,9180,GAPDH,OSMR,1,0,2597 :: 9180
601775,2597,26578,GAPDH,OSTF1,1,0,2597 :: 26578
601776,2597,7531,GAPDH,YWHAE,1,0,2597 :: 7531
601826,6622,2597,SNCA,GAPDH,0,1,2597 :: 6622
601834,10008,2597,KCNE3,GAPDH,0,1,10008 :: 2597
601851,11102,5315,RPP14,PKM,0,1,11102 :: 5315
